CELL_LINE_NAME	AEW541	Nilotinib	17-AAG	PHA-665752	Lapatinib	Nutlin-3	AZD0530	PF2341066	L-685458	ZD-6474	Panobinostat	Sorafenib	Irinotecan	Topotecan	LBW242	PD-0325901	PD-0332991	Paclitaxel	AZD6244	PLX4720	RAF265	TAE684	TKI258	Erlotinib
DV-90	0		-1	-1	0	0	0	1	0	0	-1	1		-1	-1	-1		-1	-1	1		0	0	0
EB1	0	1	-1	0	1	1	0	1	1	0	-1	1		-1	0	0	0	-1	1	1	0	1	0	1
EB2	1	1	0	1	1	1	1	1	1	0	-1	1		-1	0	1	1	-1	1	1	1	1	1	1
EBC-1	0	1	-1	0	0	1	0	-1	1	0	-1	1	-1	-1	0	-1	0	-1	-1	1	0	0	1	1
EFE-184	0	1	0	1	0	1	0	1	1	0	-1	1	-1	0	1	0	1	-1	0	1	0	1	1	0
EFM-19	0	1	-1	0	0	1	0	0	1	0	-1	1	-1	0	-1	1	0	-1	1	1	0	0	0	1
EFO-21	0	1	-1	1	0	1	0	1	1	0	-1	0	0	-1	0	0	1	-1	0	1	0	0	0	1
EFO-27	1	1	-1	1	0	1	0	1	1		-1	1	-1	-1	1	0	1	-1	1		-1	1	0	0
EM-2	0	-1	-1	0	1	0	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	-1	0	-1	-1	0	0
EN	0	1	-1	1	1	1	0	1	1	1	-1	1	0	0	1	0	1	-1	1	1	0	0	1	1
ES-2	1		-1	1	1	1	1	1	1	1	-1	1		-1	0	-1	1	-1	0	0	0	1	1	1
ESS-1	0		-1	-1	0	0	0	0		0	-1	1		-1	-1	0		-1	0	0		0	0	0
F-36P	-1	0	-1	0	0	0	1	0	0	0	-1	0	-1	0	0	-1	1	-1	-1	1	-1	-1	-1	0
FaDu	0	0	-1	1	0	1	0	1	1	0	-1	1		-1	0	-1	1	-1	-1	1	0	0	0	0
FU97	0		-1	0	1	1	0	1	1	0	-1	0		0	1	0		-1	0	0	0	0	0	1
FU-OV-1	-1	1	0	1	0	1	0	1	1	0	-1	0	0	0	1	-1	1	-1	0	1	0	0	0	0
G-361	0	0	-1	0	0	0	0	0	1	0	-1	0	-1	-1	0	-1	0	-1	-1	0	-1	0	0	0
G-401	-1	0	-1	0	1	0	0	0	0	0	-1	0	-1	-1	0	-1	0	-1	0	0	-1	-1	0	1
G-402	1		-1	0	1	0	0	0	1	1	-1	0		-1	1	0		-1	1	1	0	0	0	1
